etf,year_value,year_name,percentile,return
1x,3,3yr,2,-0.19356807098474582
1x,3,3yr,3,-0.16391089919070778
1x,3,3yr,4,-0.14175664232639518
1x,3,3yr,5,-0.12354809366792285
1x,3,3yr,6,-0.10717955459858808
1x,3,3yr,7,-0.09170451797331214
1x,3,3yr,8,-0.07874545481228723
1x,3,3yr,9,-0.0663572525918924
1x,3,3yr,10,-0.05457943901463169
1x,3,3yr,11,-0.044047954219522345
1x,3,3yr,12,-0.03356825869300828
1x,3,3yr,13,-0.023824807863279007
1x,3,3yr,14,-0.014377471557199595
1x,3,3yr,15,-0.005430626322920795
1x,3,3yr,16,0.0033371518451787985
1x,3,3yr,17,0.011980957973737105
1x,3,3yr,18,0.02048074227209451
1x,3,3yr,19,0.028456575934580508
1x,3,3yr,20,0.036177295236995644
1x,3,3yr,21,0.04383008676729139
1x,3,3yr,22,0.05126613560304949
1x,3,3yr,23,0.05856348118406518
1x,3,3yr,24,0.06561230912664695
1x,3,3yr,25,0.07261547899717335
1x,3,3yr,26,0.07991053680008608
1x,3,3yr,27,0.08698756217244696
1x,3,3yr,28,0.0938070578037895
1x,3,3yr,29,0.10067729921787216
1x,3,3yr,30,0.10761722013393782
1x,3,3yr,31,0.11407991738505818
1x,3,3yr,32,0.12028602018224843
1x,3,3yr,33,0.1268386983992551
1x,3,3yr,34,0.13329183967771363
1x,3,3yr,35,0.13985386462711613
1x,3,3yr,36,0.14593875744751572
1x,3,3yr,37,0.15242115386627386
1x,3,3yr,38,0.1585423513228943
1x,3,3yr,39,0.1648661664083102
1x,3,3yr,40,0.17118372828189443
1x,3,3yr,41,0.17731508078429536
1x,3,3yr,42,0.18352385813971184
1x,3,3yr,43,0.19009658332876933
1x,3,3yr,44,0.19605395186258523
1x,3,3yr,45,0.20228815427969704
1x,3,3yr,46,0.208712592248953
1x,3,3yr,47,0.21517352040875992
1x,3,3yr,48,0.2211274983209366
1x,3,3yr,49,0.22745473109032543
1x,3,3yr,50,0.23372033899072187
1x,3,3yr,51,0.24034129715151042
1x,3,3yr,52,0.24687168747140675
1x,3,3yr,53,0.25365771900210454
1x,3,3yr,54,0.2603031864847414
