etf,year_value,year_name,percentile,return
1x,10,10yr,19,0.440679942843073
1x,10,10yr,20,0.4605259275686744
1x,10,10yr,21,0.48001818480340197
1x,10,10yr,22,0.499236825259215
1x,10,10yr,23,0.518562063182463
1x,10,10yr,24,0.5375251090105435
1x,10,10yr,25,0.5561856321477525
1x,10,10yr,26,0.5745610300551411
1x,10,10yr,27,0.5928740733448765
1x,10,10yr,28,0.6109779801546973
1x,10,10yr,29,0.6287939990085682
1x,10,10yr,30,0.647015094199789
1x,10,10yr,31,0.664812965693355
1x,10,10yr,32,0.6826524130119123
1x,10,10yr,33,0.7003903758295105
1x,10,10yr,34,0.7181810467161407
1x,10,10yr,35,0.735859118117749
1x,10,10yr,36,0.7536698323589868
1x,10,10yr,37,0.7715300300499925
1x,10,10yr,38,0.7893057150444793
1x,10,10yr,39,0.8072359106820777
1x,10,10yr,40,0.8249483772981805
1x,10,10yr,41,0.8430882690045649
1x,10,10yr,42,0.8613077082455445
1x,10,10yr,43,0.8793775989350943
1x,10,10yr,44,0.8975584571638466
1x,10,10yr,45,0.9157996210953452
1x,10,10yr,46,0.9342477181469069
1x,10,10yr,47,0.9525663648019957
1x,10,10yr,48,0.9715907729571012
1x,10,10yr,49,0.990388267784122
1x,10,10yr,50,1.0095072859617273
1x,10,10yr,51,1.0284691358045142
1x,10,10yr,52,1.047930420582032
1x,10,10yr,53,1.0674786689525302
1x,10,10yr,54,1.0872700558146633
1x,10,10yr,55,1.1076686357215522
1x,10,10yr,56,1.1283716071055871
1x,10,10yr,57,1.1490888239973698
1x,10,10yr,58,1.169868956595891
1x,10,10yr,59,1.1911634341802646
1x,10,10yr,60,1.2125880502075743
1x,10,10yr,61,1.2345860720243014
1x,10,10yr,62,1.25683427946218
1x,10,10yr,63,1.2799520422130484
1x,10,10yr,64,1.303309072496746
1x,10,10yr,65,1.3267132254348102
1x,10,10yr,66,1.3507123059650183
1x,10,10yr,67,1.3753711341640127
1x,10,10yr,68,1.4004730952022042
1x,10,10yr,69,1.4264202357770897
1x,10,10yr,70,1.4532134618523513
1x,10,10yr,71,1.4799668119323512
1x,10,10yr,72,1.507975475168843
1x,10,10yr,73,1.536696426519648
1x,10,10yr,74,1.566116856388427
1x,10,10yr,75,1.5965042517215542
1x,10,10yr,76,1.6280145484088329
1x,10,10yr,77,1.6607134000808808
1x,10,10yr,78,1.6944291896891213
1x,10,10yr,79,1.729229143541172
1x,10,10yr,80,1.7660907267926587
1x,10,10yr,81,1.8048190023360355
1x,10,10yr,82,1.8447469089463926
1x,10,10yr,83,1.88738036131759
1x,10,10yr,84,1.9323234655030146
1x,10,10yr,85,1.9799927754228417
1x,10,10yr,86,2.0308507723567106
1x,10,10yr,87,2.0836954983257963
1x,10,10yr,88,2.1413182431537776
1x,10,10yr,89,2.2029657008711925
1x,10,10yr,90,2.2712859323981873
1x,10,10yr,91,2.346006196268417
1x,10,10yr,92,2.429463532051446
1x,10,10yr,93,2.525313047583718
1x,10,10yr,94,2.631613591155263
1x,10,10yr,95,2.757974015578782
1x,10,10yr,96,2.91347878154146
1x,10,10yr,97,3.111659974242915
1x,10,10yr,98,3.3903550856395857
1x,10,10yr,99,3.867685920364063
1x,10,10yr,100,11.577881389048494
1x,15,15yr,0,-0.7057057835335909
1x,15,15yr,1,-0.02929903710301074
1x,15,15yr,2,0.101111766848059
1x,15,15yr,3,0.19328832839045695
1x,15,15yr,4,0.2661615009814329
1x,15,15yr,5,0.3287397368932743
1x,15,15yr,6,0.3849558290202555
1x,15,15yr,7,0.4369985363964852
1x,15,15yr,8,0.48539077487989335
1x,15,15yr,9,0.530420811730437
1x,15,15yr,10,0.5726629016523068
1x,15,15yr,11,0.6131168139507621
1x,15,15yr,12,0.6517392086982763
1x,15,15yr,13,0.6893354488444634
1x,15,15yr,14,0.725703166650095
1x,15,15yr,15,0.7611761854231027
1x,15,15yr,16,0.7953521986900136
1x,15,15yr,17,0.8296377982841983
1x,15,15yr,18,0.8628084039872779
1x,15,15yr,19,0.8950710586673054
1x,15,15yr,20,0.9268832310802024
1x,15,15yr,21,0.9582405247217087
1x,15,15yr,22,0.9896115912568444
1x,15,15yr,23,1.0205293387945384
1x,15,15yr,24,1.0510321971207985
1x,15,15yr,25,1.0817430680599207
1x,15,15yr,26,1.1122506697837835
1x,15,15yr,27,1.142729417512669
1x,15,15yr,28,1.1721447693108615
1x,15,15yr,29,1.2018840366141812
1x,15,15yr,30,1.2319450111479373
1x,15,15yr,31,1.2621354643350005
1x,15,15yr,32,1.2917883646375352
1x,15,15yr,33,1.3217604040807913
1x,15,15yr,34,1.351137602553813
1x,15,15yr,35,1.3812420892421131
1x,15,15yr,36,1.411233165825327
1x,15,15yr,37,1.4411144365417874
1x,15,15yr,38,1.471323915097444
1x,15,15yr,39,1.5020511001743828
1x,15,15yr,40,1.5330931468495028
1x,15,15yr,41,1.5634921054178204
1x,15,15yr,42,1.5944654273481063
1x,15,15yr,43,1.6253511635563456
1x,15,15yr,44,1.656478994606716
1x,15,15yr,45,1.6881296437234954
1x,15,15yr,46,1.7202369236553854
1x,15,15yr,47,1.7519882777280085
1x,15,15yr,48,1.7843907461048087
1x,15,15yr,49,1.8171168353705758
1x,15,15yr,50,1.8503847776462425
1x,15,15yr,51,1.8837273344099463
1x,15,15yr,52,1.918175311895169
1x,15,15yr,53,1.952691489414724
1x,15,15yr,54,1.987249058236896
1x,15,15yr,55,2.0229843475131872
1x,15,15yr,56,2.0588240412712593
1x,15,15yr,57,2.0952043737827206
1x,15,15yr,58,2.1319064738295195
1x,15,15yr,59,2.1693535260164465
1x,15,15yr,60,2.207985741599724
1x,15,15yr,61,2.246891282914812
1x,15,15yr,62,2.286953665849839
1x,15,15yr,63,2.3270286933553055
1x,15,15yr,64,2.3681758446560432
1x,15,15yr,65,2.4104524300188492
1x,15,15yr,66,2.453680181797486
1x,15,15yr,67,2.4975127603623775
1x,15,15yr,68,2.542806292598431
1x,15,15yr,69,2.5886511955444664
1x,15,15yr,70,2.6369433870550574
1x,15,15yr,71,2.6866557530388087
1x,15,15yr,72,2.737126554152755
1x,15,15yr,73,2.7899403797310938
1x,15,15yr,74,2.844424738272733
1x,15,15yr,75,2.8996902480787377
1x,15,15yr,76,2.957399199789896
1x,15,15yr,77,3.017287137217062
1x,15,15yr,78,3.079563955593704
1x,15,15yr,79,3.144668477726964
1x,15,15yr,80,3.2146528956711586
1x,15,15yr,81,3.284930610552248
1x,15,15yr,82,3.3611073469106394
1x,15,15yr,83,3.4403118609892456
1x,15,15yr,84,3.522284939237381
1x,15,15yr,85,3.612947111135659
1x,15,15yr,86,3.708257527709372
1x,15,15yr,87,3.8103203421849745
1x,15,15yr,88,3.9194308895068346
1x,15,15yr,89,4.040268827364685
1x,15,15yr,90,4.172058532448887
1x,15,15yr,91,4.3149859611243295
1x,15,15yr,92,4.477143060416964
1x,15,15yr,93,4.6598369716730526
1x,15,15yr,94,4.872608235571519
1x,15,15yr,95,5.117941585026974
1x,15,15yr,96,5.425295817767697
1x,15,15yr,97,5.820035206719797
1x,15,15yr,98,6.387423029700631
1x,15,15yr,99,7.3838362861875435
1x,15,15yr,100,21.550668702207332
1x,20,20yr,0,-0.7879878563614354
1x,20,20yr,1,0.164218415460607
1x,20,20yr,2,0.34639664335043663
1x,20,20yr,3,0.4770524550063904
1x,20,20yr,4,0.5829823707173236
1x,20,20yr,5,0.6751198420026587
1x,20,20yr,6,0.7580336906352585
1x,20,20yr,7,0.8336698881761098
1x,20,20yr,8,0.9037173155637612
1x,20,20yr,9,0.9715761315537741
1x,20,20yr,10,1.0350649802128062
1x,20,20yr,11,1.0962544099017317
1x,20,20yr,12,1.1543523652661243
1x,20,20yr,13,1.2095288254020153
1x,20,20yr,14,1.264606573232283
1x,20,20yr,15,1.318148288826794
1x,20,20yr,16,1.371557421436381
1x,20,20yr,17,1.423067889424095
1x,20,20yr,18,1.4732270297587253
1x,20,20yr,19,1.5230163224608
1x,20,20yr,20,1.5723027444886615
1x,20,20yr,21,1.6208398227421168
1x,20,20yr,22,1.669092613167798
1x,20,20yr,23,1.7175694463818458
1x,20,20yr,24,1.7661574027035845
1x,20,20yr,25,1.8142168835581227
1x,20,20yr,26,1.8616020454498265
1x,20,20yr,27,1.909698273692769
1x,20,20yr,28,1.95692362841916
1x,20,20yr,29,2.0045853004379066
1x,20,20yr,30,2.051556011302979
1x,20,20yr,31,2.098750800623651
1x,20,20yr,32,2.1464730961729885
1x,20,20yr,33,2.1936166103143746
1x,20,20yr,34,2.241292872424546
1x,20,20yr,35,2.2892492191817393
1x,20,20yr,36,2.3376359436494822
1x,20,20yr,37,2.385258461516284
1x,20,20yr,38,2.4332954279113523
1x,20,20yr,39,2.4816094148494257
1x,20,20yr,40,2.530092047977158
1x,20,20yr,41,2.579510751235917
1x,20,20yr,42,2.6291855174763676
1x,20,20yr,43,2.67881117967114
1x,20,20yr,44,2.7290397976510348
1x,20,20yr,45,2.7788767810885604
1x,20,20yr,46,2.829975786067674
1x,20,20yr,47,2.8817587522117143
1x,20,20yr,48,2.9353399297061236
1x,20,20yr,49,2.9880066706127173
1x,20,20yr,50,3.0424002751246455
1x,20,20yr,51,3.096494955198798
1x,20,20yr,52,3.1523493457117526
1x,20,20yr,53,3.2085178039032316
1x,20,20yr,54,3.2656774493826894
1x,20,20yr,55,3.323415119242857
1x,20,20yr,56,3.381414324603962
1x,20,20yr,57,3.441227854156951
1x,20,20yr,58,3.5028595562901517
1x,20,20yr,59,3.5637212335874837
1x,20,20yr,60,3.6276727936122777
1x,20,20yr,61,3.6928280303522802
1x,20,20yr,62,3.7586489596162167
1x,20,20yr,63,3.8271425462447484
1x,20,20yr,64,3.895894105716324
1x,20,20yr,65,3.967238611677585
1x,20,20yr,66,4.040185564561715
1x,20,20yr,67,4.114949698570306
1x,20,20yr,68,4.192567204945215
1x,20,20yr,69,4.2709978253139225
1x,20,20yr,70,4.352901279683324
1x,20,20yr,71,4.436675862603115
1x,20,20yr,72,4.521768822269866
1x,20,20yr,73,4.6105736487144435
1x,20,20yr,74,4.7023410354274455
1x,20,20yr,75,4.798110564071712
1x,20,20yr,76,4.897205512192149
1x,20,20yr,77,5.001596865399607
1x,20,20yr,78,5.110251756484959
1x,20,20yr,79,5.223174135148301
1x,20,20yr,80,5.3414836559396335
1x,20,20yr,81,5.465875023677048
1x,20,20yr,82,5.5993480702998
1x,20,20yr,83,5.740329952293274
1x,20,20yr,84,5.886227051831641
1x,20,20yr,85,6.043935060071257
1x,20,20yr,86,6.210100752569682
1x,20,20yr,87,6.391229566531562
1x,20,20yr,88,6.585606147823551
1x,20,20yr,89,6.7983239639322655
1x,20,20yr,90,7.0303186516063985
1x,20,20yr,91,7.290925261421522
1x,20,20yr,92,7.584018450882352
1x,20,20yr,93,7.9099429575050895
1x,20,20yr,94,8.29970535935189
1x,20,20yr,95,8.754686776813424
1x,20,20yr,96,9.329352712462063
1x,20,20yr,97,10.074346192900661
1x,20,20yr,98,11.149339430115958
1x,20,20yr,99,13.029551926607349
1x,20,20yr,100,48.53638437509699
1x,30,30yr,0,-0.6002713478517736
1x,30,30yr,1,0.7576225496407691
1x,30,30yr,2,1.1044772607018638
1x,30,30yr,3,1.354749040718914
1x,30,30yr,4,1.5642415140443826
1x,30,30yr,5,1.75168557986962
1x,30,30yr,6,1.9236141702184915
1x,30,30yr,7,2.082806374747615
1x,30,30yr,8,2.232213277938771
1x,30,30yr,9,2.372763853750835
1x,30,30yr,10,2.5059129832266627
1x,30,30yr,11,2.636656899452796
1x,30,30yr,12,2.7608049974814213
1x,30,30yr,13,2.8828289022340585
1x,30,30yr,14,3.0012654868176885
1x,30,30yr,15,3.1165132424836823
1x,30,30yr,16,3.230692259204515
1x,30,30yr,17,3.3454227937836594
1x,30,30yr,18,3.4583916575238636
1x,30,30yr,19,3.570813456396878
1x,30,30yr,20,3.67983236504994
1x,30,30yr,21,3.7896497463722785
1x,30,30yr,22,3.8982292351531846
1x,30,30yr,23,4.006450093738846
1x,30,30yr,24,4.112542694140456
1x,30,30yr,25,4.220413172059544
1x,30,30yr,26,4.326705434807611
1x,30,30yr,27,4.434676315765524
1x,30,30yr,28,4.542076686631888
1x,30,30yr,29,4.649444779056079
1x,30,30yr,30,4.761551609394116
1x,30,30yr,31,4.872123370943929
1x,30,30yr,32,4.980382239938242
1x,30,30yr,33,5.093708894303203
1x,30,30yr,34,5.207126961813544
1x,30,30yr,35,5.319100075683112
1x,30,30yr,36,5.432849214543392
1x,30,30yr,37,5.5465021905794005
1x,30,30yr,38,5.66210407514295
1x,30,30yr,39,5.77876325615653
1x,30,30yr,40,5.896064296158623
1x,30,30yr,41,6.013418450940848
1x,30,30yr,42,6.131489809721699
1x,30,30yr,43,6.252542846744124
1x,30,30yr,44,6.3722752078784906
1x,30,30yr,45,6.494753670618716
1x,30,30yr,46,6.620402411773442
1x,30,30yr,47,6.747549459923671
1x,30,30yr,48,6.876840419300242
1x,30,30yr,49,7.009088702479273
1x,30,30yr,50,7.138847290632137
1x,30,30yr,51,7.271769771235844
1x,30,30yr,52,7.409444898340086
1x,30,30yr,53,7.547119622163693
1x,30,30yr,54,7.6895610142291755
1x,30,30yr,55,7.832275784642134
1x,30,30yr,56,7.978961234857884
1x,30,30yr,57,8.12789775039353
1x,30,30yr,58,8.281419697392703
1x,30,30yr,59,8.437619934546676
1x,30,30yr,60,8.597616477600436
1x,30,30yr,61,8.764189500954048
1x,30,30yr,62,8.933682879978857
1x,30,30yr,63,9.105947068091648
1x,30,30yr,64,9.283097170566005
1x,30,30yr,65,9.463947227614732
1x,30,30yr,66,9.650062417768538
1x,30,30yr,67,9.84366124296763
1x,30,30yr,68,10.044557070835163
1x,30,30yr,69,10.250268706419122
1x,30,30yr,70,10.458387469041735
1x,30,30yr,71,10.674184542380072
1x,30,30yr,72,10.901420823627511
1x,30,30yr,73,11.139202378736965
1x,30,30yr,74,11.382385896911542
1x,30,30yr,75,11.634858885663466
1x,30,30yr,76,11.898165329295983
1x,30,30yr,77,12.174977264785943
1x,30,30yr,78,12.46742638736696
1x,30,30yr,79,12.76713607771279
1x,30,30yr,80,13.085919832052369
1x,30,30yr,81,13.430939305875546
1x,30,30yr,82,13.792142830628313
1x,30,30yr,83,14.175746142564128
1x,30,30yr,84,14.58305302251438
1x,30,30yr,85,15.018634233716345
1x,30,30yr,86,15.483750267423684
1x,30,30yr,87,15.98807273833133
1x,30,30yr,88,16.536882580657934
1x,30,30yr,89,17.148707136558503
1x,30,30yr,90,17.819790101106864
1x,30,30yr,91,18.561347970601542
1x,30,30yr,92,19.403871390120955
1x,30,30yr,93,20.38332230210466
1x,30,30yr,94,21.527945744201485
1x,30,30yr,95,22.900198822135593
1x,30,30yr,96,24.608804356991474
1x,30,30yr,97,26.900879214214594
